query,lat,lon
"Mdloti, KwaZulu-Natal, South Africa",-29.5867961,30.9694777
"Chintsa, Eastern Cape Province, South Africa",-32.8250438,28.1022344
"Key Biscayne, Miami-Dade County, Florida, United States",25.6968351,-80.1635261
"Near Coral Bay, Western Australia, Australia",,
"Ua Pou, Marquesas, French Polynesia",-9.4010769,-140.080027
"Indian River County, Florida, United States",27.7041555,-80.5894422
"Fort Lauderdale, Broward County, Florida, United States",26.1223084,-80.1433786
"Miami Beach, Miami-Dade County, Florida, United States",25.7929198,-80.1353006
"Ouvéa, Loyalty Islands, New Caledonia",-20.5490007,166.5673946
"I'îot Maître, New Caledonia",,
New Caledonia,-21.3019905,165.4880773
"Waterford West, Queensland, Australia",-27.6910154,153.125553
"Waiokapua Bay, Kaui, Hawaii, United States",,
"Gleneg, South Australia, Australia",,
"Ukumehama, Maui, United States",,
"Melaleuca Beach, Cowaramup Bay, Gracetown,, Western Australia, Australia",,
"Papamoa Beach, Bay of Plenty, North Island, New Zealand",,
"Lake Macquarie, New South Wales, Australia",-33.0374325,151.5294684
"Off Tampa Bay, Florida, United States",,
"Maui, Hawaii, United States",20.8029568,-156.3106833
"Port MacDonnell, South Australia, Australia",-38.0518869,140.7004059
"Swan River Bicton, Western Australia, Australia",,
"Cacimba do Padre Beach, Pernambuco, Brazil",-3.8497515,-32.4389861
"Blackwall Reach, Western Australia, Australia",-32.0219502,115.7796522
"13th Beach, Victoria, Australia",-38.2752628,144.4560557
